1,美妝保養,0
2,流行時尚,0
3,數位家電,0
4,母嬰幼兒,0
5,居家生活,0
6,毛寵物,0
7,節慶道具,0
8,票券,0
11,眼部彩妝,1
50,臉部彩妝,1
51,唇部彩妝,1
52,化妝水,1
53,精華液,1
54,乳液乳霜,1
55,眼霜,1
56,其他臉部保養,1
57,身體保養,1
39,T-shirt,2
40,襯衫,2
41,背心,2
42,外套,2
43,POLO衫,2
44,裙子,2
45,褲子,2
46,帽子,2
47,圍巾/披肩/絲巾,2
48,鞋子,2
49,領帶/領結,2
71,藍牙喇叭/音響,3
72,鍵盤/鍵盤周邊,3
73,滑鼠/滑鼠周邊,3
74,耳機/耳機周邊,3
75,相機/相機周邊,3
18,孕期護理,4
19,時尚孕媽咪,4
20,外出用品｜配件,4
21,嬰幼兒服飾,4
22,奶瓶｜奶嘴,4
23,安撫玩具｜玩偶,4
24,外出用品,4
25,彌月禮盒限定組,4
77,居家織品,5
78,生活收納,5
79,家飾佈置,5
80,居家清潔,5
81,家具,5
29,寵物配件,6
30,餐具/玩具,6
31,寵物床/外出籠,6
32,清潔/美容,6
33,貓砂/貓砂盆/墊,6
34,貓跳板/抓板,6
35,罐頭/鮮食,6
36,零食/肉乾,6
37,其他,6
66,節慶裝飾,7
67,桌上佈置,7
76,其他,7
59,飯店住宿券,8
60,民宿住宿券,8
15,其他餐券,8
62,美容舒壓券,8
63,門票娛樂券,8
