1,6,blue,female
2,7,gray,female
3,7,green,female
4,7,black,female
5,12,green,female
6,20,orange,female
7,21,green,both
8,22,gray,male
9,23,blue,both
10,23,pink,both
11,23,rice,both
12,23,green,both
13,25,blue,female
14,25,pink,male
15,26,green,both
16,26,blue,female
17,26,pink,male
18,30,blue,female
19,30,pink,male
20,39,blue,female
21,39,pink,male
22,40,blue,female
23,40,pink,male
24,40,gold,both
25,43,blue,female
26,43,pink,male
27,45,green,both
28,45,pink,male
29,45,rice,both
30,46,black,female
31,46,white,female
32,46,rice,female
33,46,brown,female
34,46,green,female
35,47,black,female
36,47,green,female
37,47,brown,female
38,47,rice,female
39,48,black,both
40,48,white,both
41,48,orange,both
42,48,green,both
43,48,blue,both
44,49,black,male
45,49,white,male
46,49,blue,male
47,50,black,male
48,50,blue,male
49,51,blue,female
50,52,green,female
51,52,blue,female
52,52,orange,female
53,53,gray,male
54,53,blue,male
55,53,red,male
56,54,gray,male
57,54,black,male
58,54,brown,male
59,55,blue,male
60,55,orange,male
61,56,black,female
62,56,rice,female
63,56,pink,female
64,57,rice,female
65,57,blue,female
66,57,red,female
67,58,brown,female
68,58,gray,female
69,59,black,both
70,59,green,both
71,59,rice,both
72,60,black,female
73,60,rice,female
74,61,black,female
75,62,black,female
76,62,white,female
77,62,brown,female
78,63,brown,female
79,63,rice,female
80,64,black,male
81,64,green,male
82,65,green,male
83,65,black,male
84,65,brown,male
85,66,white,female
86,66,red,female
87,67,blue,female
88,68,blue,male
89,69,gray,male
90,69,yellow,male
91,69,red,male
92,69,blue,male
93,70,black,female
94,70,brown,female
95,70,white,female
96,70,pink,female
97,72,pink,female
98,73,green,female
99,97,white,both
100,97,green,both
101,97,black,both
102,97,pink,both
103,99,brown,both
104,99,white,both
105,99,black,both
106,104,black,both
107,104,white,both
108,117,gray,both
109,117,black,both
110,117,white,both
111,124,black,both
112,124,rice,both
113,126,black,both
114,126,rice,both
115,133,white,both
116,133,black,both
117,134,green,both
118,134,brown,both
119,134,black,both
120,134,yellow,both
121,140,green,both
122,140,blue,both
123,140,red,both
124,140,yellow,both
125,143,white,both
126,143,blue,both
127,143,red,both
128,143,rice,both
129,145,white,both
130,145,black,both
131,170,black,female
132,170,white,female
133,170,brown,female
134,171,black,female
135,171,gray,female
136,171,white,female
137,172,black,male
138,172,green,male
139,172,rice,male
140,173,blue,male
141,175,green,both
142,176,purple,both
143,177,white,both
144,177,rice,both
145,178,white,both
146,183,blue,both
147,184,brown,both
148,184,gray,both
149,185,gray,both
150,185,white,both
151,186,gray,both
152,186,pink,both
153,188,purple,both
154,188,green,both
155,192,white,both
156,193,white,both
157,195,white,both
158,198,green,both
159,212,gray,both
160,214,white,both
161,216,green,both
162,174,gray,male
163,174,black,male
164,174,white,male
165,174,brown,male
166,217,blue,female
167,218,blue,female
168,218,rice,female
169,218,gray,female
170,219,black,female
171,220,black,female
172,220,blue,female
173,221,black,female
174,221,brown,female
175,222,white,female
176,222,black,female
177,223,white,female
178,223,black,female
179,224,white,both
180,224,black,both
181,225,black,both
182,225,gray,both
183,226,black,both
184,226,green,both
185,226,rice,both
186,227,black,female
187,227,rice,female
188,228,black,both
189,228,green,both
190,228,white,both
191,229,white,both
192,229,black,both
193,230,blue,male
194,230,white,male
195,231,black,both
196,231,blue,both
197,232,black,female
198,232,white,female
199,233,black,female
200,233,white,female
201,233,rice,female
202,234,black,female
203,235,black,male
204,235,green,male
205,235,blue,male
206,235,brown,male
207,236,black,male
208,236,white,male
209,237,green,male
210,237,orange,male
211,237,blue,male
212,238,red,male
213,238,green,male
214,238,blue,male
215,239,brown,male
216,240,blue,male
217,240,black,male
218,241,green,male
219,244,brown,both
220,245,brown,both
221,246,gray,both
222,246,white,both
223,249,gray,both
224,250,gray,both
225,255,gold,both
226,262,gray,both
